La	F	dta	D50a	Fd	dsa	Source
30	4.246363198	10	0.179	7.813554571	5.2	Aamir2022
30	4.246363198	12.5	0.179	7.813554571	5	Aamir2022
30	4.246363198	15	0.179	7.813554571	5.5	Aamir2022
20	2.320116931	6.666666667	0.119333333	5.228619224	3.2	Aamir2022
20	2.320116931	8.333333333	0.119333333	5.228619224	3.066666667	Aamir2022
20	2.320116931	10	0.119333333	5.228619224	3.266666667	Aamir2022
100	12.05568121	20	0.534	12.84337475	6.8	Aamir2022
100	12.05568121	25	0.534	12.84337475	5.6	Aamir2022
100	12.05568121	30	0.534	12.84337475	7.2	Aamir2022
50	4.246363198	10	0.267	6.397636113	2.8	Aamir2022
50	4.246363198	12.5	0.267	6.397636113	2.3	Aamir2022
50	4.246363198	15	0.267	6.397636113	3.1	Aamir2022
33.33333333	2.320116931	6.666666667	0.178	4.281124918	1	Aamir2022
33.33333333	2.320116931	8.333333333	0.178	4.281124918	0.733333333	Aamir2022
33.33333333	2.320116931	10	0.178	4.281124918	1.2	Aamir2022
100	12.05568121	20	0.534	12.84337475	4.2	Aamir2022
100	12.05568121	25	0.534	12.84337475	3.8	Aamir2022
100	12.05568121	30	0.534	12.84337475	4.8	Aamir2022
50	4.246363198	10	0.267	6.397636113	1.6	Aamir2022
50	4.246363198	12.5	0.267	6.397636113	1.5	Aamir2022
50	4.246363198	15	0.267	6.397636113	1.8	Aamir2022
33.33333333	2.320116931	6.666666667	0.178	4.281124918	0.933333333	Aamir2022
33.33333333	2.320116931	8.333333333	0.178	4.281124918	0.866666667	Aamir2022
33.33333333	2.320116931	10	0.178	4.281124918	1	Aamir2022
100	12.05568121	20	0.534	12.84337475	3.2	Aamir2022
100	12.05568121	25	0.534	12.84337475	2.6	Aamir2022
100	12.05568121	30	0.534	12.84337475	3.2	Aamir2022
50	4.246363198	10	0.267	6.397636113	1.1	Aamir2022
50	4.246363198	12.5	0.267	6.397636113	0.9	Aamir2022
50	4.246363198	15	0.267	6.397636113	1.3	Aamir2022
33.33333333	2.320116931	6.666666667	0.178	4.281124918	0.466666667	Aamir2022
33.33333333	2.320116931	8.333333333	0.178	4.281124918	0.333333333	Aamir2022
33.33333333	2.320116931	10	0.178	4.281124918	0.533333333	Aamir2022
33.33333333	3.154316278	10.86666667	0.032666667	13.58660203	4.333333333	Sarkar2005
33.33333333	2.580804227	9.066666667	0.032666667	11.11631075	3.866666667	Sarkar2005
55	4.868950283	12.77	0.08	13.40134459	5.9	Sarkar2005
33.33333333	3.154316278	10.86666667	0.053333333	10.633198	3.933333333	Sarkar2005
33.33333333	2.580804227	9.066666667	0.053333333	8.699889275	3.533333333	Sarkar2005
40	4.097909763	11.28	0.064	12.61044557	4.96	Sarkar2005
40	3.855176432	10.208	0.064	11.86348537	4.08	Sarkar2005
50	4.757203883	12.27	0.08	13.09377275	6.1	Sarkar2005
50	4.182508112	11.4	0.08	11.5119747	5.9	Sarkar2005
26.66666667	3.154316278	10.86666667	0.053333333	10.633198	5.1	Sarkar2005
26.66666667	2.580804227	9.066666667	0.053333333	8.699889275	4.1	Sarkar2005
32	4.097909763	11.28	0.064	12.61044557	5.52	Sarkar2005
32	3.855176432	10.208	0.064	11.86348537	5.04	Sarkar2005
40	4.757203883	12.27	0.08	13.09377275	6.4	Sarkar2005
40	4.182508112	11.4	0.08	11.5119747	6	Sarkar2005
55	4.868950283	12.77	0.186	8.788948016	3.9	Sarkar2005
33.33333333	3.154316278	10.86666667	0.124	6.973525967	3.533333333	Sarkar2005
33.33333333	2.580804227	9.066666667	0.124	5.705612155	2.466666667	Sarkar2005
40	4.097909763	11.28	0.1488	8.270256002	4.16	Sarkar2005
40	3.855176432	10.208	0.1488	7.780380211	2.88	Sarkar2005
50	4.757203883	12.27	0.186	8.587234455	5.9	Sarkar2005
50	4.182508112	11.4	0.186	7.549850427	4.5	Sarkar2005
26.66666667	3.154316278	10.86666667	0.124	6.973525967	3.933333333	Sarkar2005
26.66666667	2.580804227	9.066666667	0.124	5.705612155	3.866666667	Sarkar2005
32	4.097909763	11.28	0.1488	8.270256002	4.96	Sarkar2005
32	3.855176432	10.208	0.1488	7.780380211	4.72	Sarkar2005
40	4.757203883	12.27	0.186	8.587234455	6	Sarkar2005
40	4.182508112	11.4	0.186	7.549850427	5.7	Sarkar2005
55	4.868950283	12.77	0.3	6.920424589	3	Sarkar2005
33.33333333	3.154316278	10.86666667	0.2	5.490959837	3.4	Sarkar2005
33.33333333	2.580804227	9.066666667	0.2	4.492603503	3.266666667	Sarkar2005
40	4.097909763	11.28	0.24	6.512006088	4.08	Sarkar2005
40	3.855176432	10.208	0.24	6.126277505	2.76	Sarkar2005
50	4.757203883	12.27	0.3	6.761595172	3.3	Sarkar2005
50	4.182508112	11.4	0.3	5.944758171	3.2	Sarkar2005
26.66666667	3.154316278	10.86666667	0.2	5.490959837	3.633333333	Sarkar2005
26.66666667	2.580804227	9.066666667	0.2	4.492603503	3.333333333	Sarkar2005
32	4.097909763	11.28	0.24	6.512006088	4.76	Sarkar2005
32	3.855176432	10.208	0.24	6.126277505	4.12	Sarkar2005
40	4.757203883	12.27	0.3	6.761595172	3.4	Sarkar2005
40	4.182508112	11.4	0.3	5.944758171	3.3	Sarkar2005
