La	F	dta	D50a	Fd	dsa	Source
26.66666667	3.154316278	10.86666667	0.124	6.973525967	3.933333333	DeyandSarkar2006
26.66666667	2.580804227	9.066666667	0.124	5.705612155	3.866666667	DeyandSarkar2006
32	4.097909763	11.28	0.1488	8.270256002	4.96	DeyandSarkar2006
32	3.855176432	10.208	0.1488	7.780380211	4.72	DeyandSarkar2006
40	4.757203883	12.27	0.186	8.587234455	6	DeyandSarkar2006
40	4.182508112	11.4	0.186	7.549850427	5.7	DeyandSarkar2006
33.33333333	3.571415951	10.33333333	0.124	7.895645103	4	DeyandSarkar2006
33.33333333	3.050041359	10	0.124	6.742996183	2.8	DeyandSarkar2006
33.33333333	2.372254391	9.666666667	0.124	5.244552587	3	DeyandSarkar2006
26.66666667	3.571415951	10.33333333	0.124	7.895645103	4.56	DeyandSarkar2006
26.66666667	2.372254391	9.666666667	0.124	5.244552587	3.2	DeyandSarkar2006
40	3.198368595	12	0.1488	6.454833953	3.2	DeyandSarkar2006
40	2.798572521	9.36	0.1488	5.647979709	2.96	DeyandSarkar2006
40	2.541560759	8.24	0.1488	5.129287695	2.64	DeyandSarkar2006
32	3.198368595	12	0.1488	6.454833953	3.92	DeyandSarkar2006
32	2.798572521	9.36	0.1488	5.647979709	3.2	DeyandSarkar2006
55	4.868950283	12.77	0.3	6.920424589	3	DeyandSarkar2006
33.33333333	3.154316278	10.86666667	0.2	5.490959837	3.4	DeyandSarkar2006
33.33333333	2.580804227	9.066666667	0.2	4.492603503	3.266666667	DeyandSarkar2006
40	4.097909763	11.28	0.24	6.512006088	4.08	DeyandSarkar2006
40	3.855176432	10.208	0.24	6.126277505	2.76	DeyandSarkar2006
50	4.757203883	12.27	0.3	6.761595172	3.3	DeyandSarkar2006
50	4.182508112	11.4	0.3	5.944758171	3.2	DeyandSarkar2006
26.66666667	3.154316278	10.86666667	0.2	5.490959837	3.633333333	DeyandSarkar2006
26.66666667	2.580804227	9.066666667	0.2	4.492603503	3.333333333	DeyandSarkar2006
32	4.097909763	11.28	0.24	6.512006088	4.76	DeyandSarkar2006
32	3.855176432	10.208	0.24	6.126277505	4.12	DeyandSarkar2006
40	4.757203883	12.27	0.3	6.761595172	3.4	DeyandSarkar2006
40	4.182508112	11.4	0.3	5.944758171	3.3	DeyandSarkar2006
33.33333333	3.571415951	10.33333333	0.2	6.217037171	3.5	DeyandSarkar2006
33.33333333	3.050041359	10	0.2	5.309440504	2.8	DeyandSarkar2006
33.33333333	2.372254391	9.666666667	0.2	4.129564836	2.6	DeyandSarkar2006
26.66666667	3.571415951	10.33333333	0.2	6.217037171	4.2	DeyandSarkar2006
26.66666667	2.372254391	9.666666667	0.2	4.129564836	2.8	DeyandSarkar2006
40	3.198368595	12	0.24	5.082541337	2.96	DeyandSarkar2006
40	2.798572521	9.36	0.24	4.44722367	2.64	DeyandSarkar2006
40	2.541560759	8.24	0.24	4.03880517	2.32	DeyandSarkar2006
32	3.198368595	12	0.24	5.082541337	3.44	DeyandSarkar2006
32	2.798572521	9.36	0.24	4.44722367	2.8	DeyandSarkar2006
33.33333333	3.154316278	10.86666667	0.017333333	18.65186316	6.733333333	DeyandSarkar2006
33.33333333	2.580804227	9.066666667	0.017333333	15.26061531	5.266666667	DeyandSarkar2006
40	4.097909763	11.28	0.0208	22.12018482	7.52	DeyandSarkar2006
40	3.855176432	10.208	0.0208	20.80992997	6.8	DeyandSarkar2006
26.66666667	3.154316278	10.86666667	0.017333333	18.65186316	7.333333333	DeyandSarkar2006
26.66666667	2.580804227	9.066666667	0.017333333	15.26061531	5.666666667	DeyandSarkar2006
32	4.097909763	11.28	0.0208	22.12018482	8.16	DeyandSarkar2006
32	3.855176432	10.208	0.0208	20.80992997	7.36	DeyandSarkar2006
33.33333333	3.154316278	10.86666667	0.169333333	5.967494621	3.666666667	DeyandSarkar2006
33.33333333	2.580804227	9.066666667	0.169333333	4.882495599	2.8	DeyandSarkar2006
40	4.097909763	11.28	0.2032	7.077152712	4.08	DeyandSarkar2006
40	3.855176432	10.208	0.2032	6.657948544	3.68	DeyandSarkar2006
26.66666667	3.154316278	10.86666667	0.169333333	5.967494621	3.933333333	DeyandSarkar2006
26.66666667	2.580804227	9.066666667	0.169333333	4.882495599	3.066666667	DeyandSarkar2006
32	4.097909763	11.28	0.2032	7.077152712	4.4	DeyandSarkar2006
32	3.855176432	10.208	0.2032	6.657948544	4	DeyandSarkar2006
33.33333333	3.154316278	10.86666667	0.273333333	4.69696113	3.2	DeyandSarkar2006
33.33333333	2.580804227	9.066666667	0.273333333	3.842968197	2.466666667	DeyandSarkar2006
40	4.097909763	11.28	0.328	5.570362993	3.6	DeyandSarkar2006
40	3.855176432	10.208	0.328	5.240411178	3.2	DeyandSarkar2006
26.66666667	3.154316278	10.86666667	0.273333333	4.69696113	3.466666667	DeyandSarkar2006
26.66666667	2.580804227	9.066666667	0.273333333	3.842968197	2.666666667	DeyandSarkar2006
